Epoch: 0 PSNR=20.834158367291504, SSIM=0.6725099267251062, MSE=9.281214530579746, MSSSIM=0.6757919788360596, LPIPS=tensor([[[[0.3498]]]], grad_fn=<DivBackward0>)
Epoch: 1 PSNR=21.489203982189768, SSIM=0.7082188787216579, MSE=8.16872046941093, MSSSIM=0.6989133358001709, LPIPS=tensor([[[[0.2616]]]], grad_fn=<DivBackward0>)
Epoch: 2 PSNR=21.715323060298214, SSIM=0.7175537937959321, MSE=7.824292102961668, MSSSIM=0.7102309465408325, LPIPS=tensor([[[[0.1863]]]], grad_fn=<DivBackward0>)
Epoch: 3 PSNR=21.931117083392817, SSIM=0.728046111765746, MSE=7.5375486471291095, MSSSIM=0.7147598266601562, LPIPS=tensor([[[[0.1611]]]], grad_fn=<DivBackward0>)
Epoch: 4 PSNR=22.03664317957037, SSIM=0.7349477848402803, MSE=7.395936445200017, MSSSIM=0.7178943157196045, LPIPS=tensor([[[[0.1470]]]], grad_fn=<DivBackward0>)
Epoch: 5 PSNR=22.19991180406817, SSIM=0.7416345775335551, MSE=7.177995741101248, MSSSIM=0.7211773991584778, LPIPS=tensor([[[[0.1421]]]], grad_fn=<DivBackward0>)
Epoch: 6 PSNR=22.259633481569633, SSIM=0.7472171777421368, MSE=7.081420751953764, MSSSIM=0.7261675000190735, LPIPS=tensor([[[[0.1305]]]], grad_fn=<DivBackward0>)
Epoch: 7 PSNR=22.268450911320183, SSIM=0.7505653852678519, MSE=7.046281315253249, MSSSIM=0.7228622436523438, LPIPS=tensor([[[[0.1211]]]], grad_fn=<DivBackward0>)
Epoch: 8 PSNR=22.33336204840856, SSIM=0.7520684090284782, MSE=6.902701723788466, MSSSIM=0.7255133390426636, LPIPS=tensor([[[[0.1123]]]], grad_fn=<DivBackward0>)
Epoch: 9 PSNR=22.59977124437061, SSIM=0.7563523779141338, MSE=6.567706120466547, MSSSIM=0.7335226535797119, LPIPS=tensor([[[[0.1087]]]], grad_fn=<DivBackward0>)
Epoch: 9 PSNR=20.441628930923592, SSIM=0.7287078950297659, MSE=10.415971075184643, MSSSIM=0.6573424935340881, LPIPS=tensor([[[[0.1217]]]], grad_fn=<DivBackward0>)
Epoch: 9 PSNR=24.848851997164054, SSIM=0.7890225985429922, MSE=4.296782019947257, MSSSIM=0.7813041806221008, LPIPS=tensor([[[[0.0894]]]], grad_fn=<DivBackward0>)
